identifier,label,alias,url,target,owner,resource_type,registrant,comments
http://www.opengis.net/def/serviceType/ogc/csw,OGC Catalogue Service for the Web,OGC:CSW,http://www.opengeospatial.org/standards/cat,srv:serviceType;gmd:protocol;usgin:overlayAPI,,service,@tomkralidis,Example; should the version number be in the URI and string value?
http://www.opengis.net/def/serviceType/ogc/sos,OGC Sensor Observation Service,OGC:SOS,http://www.opengeospatial.org/standards/sos,srv:serviceType;gmd:protocol;usgin:overlayAPI,,service,@tomkralidis,Example
http://www.opengis.net/def/serviceType/ogc/wcs,OGC Web Coverage Service,OGC:WCS,http://www.opengeospatial.org/standards/wcs,srv:serviceType;gmd:protocol;usgin:overlayAPI,,service,@tomkralidis,Example
http://www.opengis.net/def/serviceType/ogc/wfs,OGC Web Feature Service,OGC:WFS,http://www.opengeospatial.org/standards/wfs,srv:serviceType;gmd:protocol;usgin:overlayAPI,,service,@tomkralidis,Example
http://www.opengis.net/def/serviceType/ogc/wms,OGC Web Map Service,OGC:WMS,http://www.opengeospatial.org/standards/wms,srv:serviceType;gmd:protocol;usgin:overlayAPI,,service,@tomkralidis,Example
http://www.opengis.net/def/serviceType/ogc/wps,OGC Web Processing Service,OGC:WPS,http://www.opengeospatial.org/standards/wps,srv:serviceType;gmd:protocol;usgin:overlayAPI,,service,@tomkralidis,Example
urn:x-esri:serviceType:ArcIMS,ESRI ArcIMS Service,ESRI:ArcIMS,,srv:serviceType;gmd:protocol;usgin:overlayAPI,,service,@tomkralidis,Example
urn:x-esri:serviceType:ArcGIS,ESRI ArcGIS Service,ESRI:ArcGIS,,srv:serviceType;gmd:protocol;usgin:overlayAPI,,service,@tomkralidis,Example
http://opendap.org,OPeNDAP service,OPeNDAP:OPeNDAP,,srv:serviceType;gmd:protocol;usgin:overlayAPI,,service,@tomkralidis,Example
https://www.unidata.ucar.edu/software/thredds/current/tds/interfaceSpec/NetcdfSubsetService.html,NetCDF Subset Service,Unidata:NCSS,,TODO,,service,@tomkralidis,Example
https://www.unidata.ucar.edu/software/thredds/current/netcdf-java/stream/CdmRemote.html,Common Data Model Remote Web Service,Unidata:CDM,,TODO,,service,@tomkralidis,Example
http://www.opengis.net/gml,OGC Geography Markup Language,OGC:GML,,gmd:applicationProfile,,data,@tomkralidis,Example
http://www.w3.org/TR/xlink/,Web Address (URL),WWW:LINK,,gmd:URL;@xlink:href,,information,@tomkralidis,Example
